"dayofweek","avg_duration_min","avg_trip_miles"
"1","14.394991475298285","5.150398901613586"
"2","14.41315753959356","4.85617453253856"
"3","14.200919877099228","4.804720715338514"
"4","14.079462310356991","4.8674678397318525"
"5","14.308884490923107","4.57501471511346"
"6","12.791381195038154","4.149895083442479"
"7","13.163109033823948","4.84596792324357"
