"dayofweek","avg_trip_cost"
"1","17.82840760618365"
"2","16.990867061571567"
"3","17.532934435278968"
"4","17.376535212285535"
"5","18.687995908416642"
"6","17.360688408511216"
"7","18.315756585294523"
